time_stamp,value,flag,mrr_30s,mhr_30s,sdrr_30s,sdhr_30s,cvrr_30s,rmsd_30s,prr20_30s,prr50_30s,reaction_time
1569294220775,1,31,515.7941252055921,122.84843773273246,123.63576819854072,28.318276191107834,23.969983789416045,155.6968422879786,91.07142857142857,75.0,710
1569294221499,1,31,517.8994012129934,122.45530288917392,124.55370990307576,28.546418687021127,24.049788358772652,152.6856996854012,91.07142857142857,75.0,724
1569294222145,1,31,507.41836442618535,124.751862896647,119.78979484626362,28.54063994329689,23.607697955853066,154.2568211595987,89.47368421052632,73.6842105263158,646
1569294222730,1,31,502.0734905374461,125.97492434646487,118.40802730065082,28.41220157864337,23.583803871799837,151.2418548282351,89.47368421052632,71.9298245614035,585
1569294223352,1,31,504.07234010858053,125.47998185057463,118.38267365251697,28.421614245673993,23.485254840012953,153.2084830329962,89.65517241379311,72.41379310344827,622
1569294224003,1,31,503.3943657309322,125.67725647824413,118.69527366991575,28.456008775193045,23.57898334789055,155.18206001043652,89.65517241379311,72.41379310344827,651
1569294224729,1,31,501.19095521054027,126.58671517838016,120.93261308974539,29.47248873401258,24.129049383771108,155.17650361572748,89.65517241379311,72.41379310344827,726
1569294225349,1,31,506.6147378177966,125.41148555349757,123.01794757634585,29.74798545583687,24.282346799904804,157.02657289121365,89.65517241379311,72.41379310344827,620
1569294225958,1,31,503.05537854210803,126.03410307854526,120.33474992502173,29.28358806667252,23.920775934005675,154.72586711381274,89.65517241379311,72.41379310344827,609
1569294226565,1,31,496.10616806806144,127.69920864518498,118.08954610504415,29.37670038264011,23.803281173646546,145.52654477519343,89.65517241379311,70.6896551724138,607
1569294227184,1,31,498.0044881184896,127.21021832897694,118.00423602481293,29.371929781255087,23.69541617398764,148.20528474833594,89.83050847457628,71.1864406779661,619
1569294227821,1,31,501.5299423993644,126.58574007684346,120.38573496978825,29.93077568111067,24.003698441981758,148.89381851857087,89.65517241379311,68.96551724137932,637
1569294228406,1,31,505.4282805879237,125.43354252628106,119.1116129927296,29.479886706139045,23.566471756225578,148.34276128883576,89.65517241379311,68.96551724137932,585
1569294229470,1,31,512.0735747238685,123.65087570427751,117.85855001786102,29.119659830752965,23.01594064513391,147.1198960402002,87.71929824561404,68.42105263157895,1064
1569294230716,1,31,515.1770524649785,123.19662313327666,121.54442202231904,29.54954200541718,23.592747666217445,154.23977937462053,87.71929824561404,68.42105263157895,1246
1569294231509,1,31,520.7064487390351,122.27473854272809,126.56085183129036,30.11116641185843,24.30560484468274,159.27996171316542,87.5,67.85714285714286,793
1569294232339,1,31,521.583650287829,122.16871279380605,127.85138142883858,30.24351633095251,24.512152817344926,159.45924441678883,87.5,69.64285714285714,830
1569294233106,1,31,520.0046815035636,122.39057790099231,126.1529815766638,30.016843671986063,24.259970354862908,159.16780562709243,87.5,69.64285714285714,767
1569294234029,1,31,521.5836460046601,122.20512377921553,128.17222175564154,30.306606279722416,24.573665746125865,160.8030325319403,87.5,71.42857142857143,923
1569294235457,1,31,523.3380491022479,122.07667125896376,130.48562208775743,30.927812671419574,24.93333368586461,160.60855855374803,87.5,71.42857142857143,1428
1569294236016,1,31,522.2854046737939,122.25254848040494,129.85022271429384,30.800702567360666,24.86192827758512,158.05882142939134,87.5,71.42857142857143,559
1569294236733,1,31,529.1119079589844,120.4129026026316,127.95393609008951,30.155885804704234,24.182773845265306,158.16129855997607,87.27272727272727,70.9090909090909,717
1569294237474,1,31,526.7320179332386,120.82710098889352,126.00897477286739,30.045314666615823,23.92278625235168,155.41003364436807,85.18518518518519,68.51851851851852,741
1569294238174,1,31,525.443329392818,121.20928322302474,126.3378457103117,30.301559539178374,24.04404788168171,156.60600042129025,85.71428571428571,67.85714285714286,700
1569294238989,1,31,525.5404488699777,121.4593382887648,130.1607869886575,30.657164589793066,24.7670350148177,167.62122135413804,85.45454545454545,67.27272727272727,815
1569294239732,1,31,528.7547563825335,120.99395452717256,133.21410683241677,31.073442985979916,25.193930687980714,167.8867691128624,87.27272727272727,69.0909090909091,743
1569294240427,1,31,530.8976440429688,120.65632088162874,134.68301515286143,31.328366621570293,25.368923118061666,166.69121035071518,87.27272727272727,69.0909090909091,695
1569294241140,1,31,532.0047895951705,120.35464998187739,134.32254683088368,31.24238470806838,25.24837171731039,165.44703517120305,87.03703703703704,68.51851851851852,713
1569294241766,1,31,536.0048295454545,119.55863629244422,135.10885295317726,31.462573019450353,25.20664843034212,165.93881107649048,87.03703703703704,68.51851851851852,626
1569294242367,1,31,540.91396484375,118.25994627548172,133.49100415526806,30.952169852513492,24.678786800009618,160.5791272474462,87.03703703703704,66.66666666666667,601
1569294243227,1,31,536.3684703480113,119.2941095861172,133.7417371814996,31.02084734511454,24.934675428390506,162.1628067691683,88.88888888888889,66.66666666666667,860
1569294243851,1,31,537.0957475142045,119.17276411705227,134.09172675251278,31.096943939487836,24.96607492669945,164.90326894871856,90.74074074074075,68.51851851851852,624
1569294244473,1,31,537.6412020596591,119.0802636040557,134.33030998016426,31.152104576493453,24.985121948532946,164.8864223735453,88.88888888888889,68.51851851851852,622
1569294245122,1,31,539.2775834517046,118.81053519087705,135.153448028753,31.32115164168584,25.061944381906013,162.7157313729146,88.88888888888889,66.66666666666667,649
1569294245772,1,31,544.5503595525569,117.45856542541982,133.67877900738006,30.818053584982195,24.54846951477922,162.14567658165146,87.03703703703704,64.81481481481481,650
1569294246418,1,31,550.9308901186342,116.03043180912661,133.01088432229025,30.694880187977294,24.142934569097854,163.3046571944785,86.79245283018868,64.15094339622641,646
1569294247141,1,31,556.4201061320755,114.92610367694776,133.95144709343145,30.6751962456936,24.073797049604796,161.80619994346367,86.53846153846153,63.46153846153846,723
1569294247822,1,31,556.2314268867924,114.94954166435353,133.75220182624244,30.652913023033904,24.046142551644156,161.3777599957801,86.53846153846153,61.53846153846154,681
1569294248453,1,31,556.6087899837854,114.89062575320463,133.93492421636313,30.688392550127677,24.06266782460708,160.2476662246974,86.53846153846153,61.53846153846154,631
1569294249088,1,31,559.816364792158,114.22654350078656,133.61214457423415,30.726374462519534,23.867138043354643,160.15162986521958,84.61538461538461,61.53846153846154,635
1569294249725,1,31,562.4578972582547,113.7312652927091,133.79072089906353,30.842879638087393,23.78679747430642,160.00746812954338,82.6923076923077,59.61538461538461,637
